INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3670	Ác Bá	0	10	4156	0	10	0	36	9	40	3	0.1	-1	1	871	409	871	409	7920	990	0	0	306	61	5	5	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	19	6858	1619	760	1619	760	58896	1	28	10	0	0	2	3	0	0	0
3671	Ác Bá	0	20	8355	0	10	0	36	9	40	3	0.1	-1	1	1702	799	1702	799	72240	1935	0	0	594	118	7	7	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	29	11514	2451	1151	2451	1151	103992	1	28	10	0	0	2	3	0	0	0
3672	Ác Bá	0	30	13551	0	10	0	36	9	40	3	0.1	-1	1	2534	1190	2534	1190	122880	2880	0	0	882	176	10	10	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	39	17126	3282	1541	3282	1541	159168	1	28	10	0	0	2	3	0	0	0
3673	Ác Bá	0	40	19745	0	10	0	36	9	40	3	0.1	-1	1	3366	1581	3366	1581	183600	3825	0	0	1474	234	12	12	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	49	23777	4114	1932	4114	1932	224424	1	28	10	0	0	2	3	0	0	0
3674	Ác Bá	0	50	26936	0	10	0	36	9	40	3	0.1	-1	1	4407	1971	4407	1971	254400	4770	0	0	2143	291	15	15	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	59	31426	4946	2323	4946	2323	299760	1	28	10	0	0	2	3	0	0	0
3675	Ác Bá	0	60	35084	0	10	0	36	9	40	3	0.1	-1	1	5280	2362	5280	2362	335280	5715	0	0	2933	349	17	17	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	69	40031	5777	2713	5777	2713	385176	1	28	10	0	0	2	3	0	0	0
3676	Ác Bá	0	70	44271	0	10	0	36	9	40	3	0.1	-1	1	6153	2752	6153	2752	426240	6660	0	0	3844	406	19	19	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	79	49675	6609	3104	6609	3104	480672	1	28	10	0	0	2	3	0	0	0
3677	Ác Bá	0	80	54455	0	10	0	36	9	40	3	0.1	-1	1	7027	3143	7027	3143	527280	7605	0	0	4876	464	22	22	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	89	60275	7440	3494	7440	3494	586248	1	28	10	0	0	2	3	0	0	0
3678	Ác Bá	0	90	62353	0	10	0	36	9	40	3	0.1	-1	1	8652	3534	8652	3534	638400	8550	0	0	5481	522	24	24	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	99	68298	8272	3885	8272	3885	701904	1	28	10	0	0	2	3	0	0	0
3679	Ác Bá	0	100	70002	0	10	0	36	9	40	3	0.1	-1	1	10444	3924	10444	3924	759600	9495	0	0	6085	579	27	27	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1799	1	1	-1	100	100	set:FightNPCHeader1 image:FightNPCHeader1_3	1200	2400	109	76071	9104	4276	9104	4276	827640	1	28	10	0	0	2	3	0	0	0
3680	Hoàng S¡c Túc C¥u	0	10	690	0	10	7	-1	9	20	1	0.1	-1	0	348	163	348	163	506	396	0	0	122	24	2	2	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	19	1138	647	304	647	304	3769	1	29	10	0	0	3	5	0	0	0
3681	Hoàng S¡c Túc C¥u	0	20	1387	0	10	7	-1	9	20	1	0.1	-1	0	681	319	681	319	4623	774	0	0	237	47	3	3	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	29	1911	980	460	980	460	6655	1	29	10	0	0	3	5	0	0	0
3682	Hoàng S¡c Túc C¥u	0	30	2249	0	10	7	-1	9	20	1	0.1	-1	0	1013	476	1013	476	7864	1152	0	0	352	70	4	4	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	39	2843	1313	616	1313	616	10186	1	29	10	0	0	3	5	0	0	0
3683	Hoàng S¡c Túc C¥u	0	40	3278	0	10	7	-1	9	20	1	0.1	-1	0	1346	632	1346	632	11750	1530	0	0	589	93	5	5	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	49	3947	1645	773	1645	773	14363	1	29	10	0	0	3	5	0	0	0
3684	Hoàng S¡c Túc C¥u	0	50	4472	0	10	7	-1	9	20	1	0.1	-1	0	1762	788	1762	788	16281	1908	0	0	857	116	6	6	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	59	5217	1978	929	1978	929	19184	1	29	10	0	0	3	5	0	0	0
3685	Hoàng S¡c Túc C¥u	0	60	5824	0	10	7	-1	9	20	1	0.1	-1	0	2112	944	2112	944	21457	2286	0	0	1173	139	7	7	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	69	6645	2311	1085	2311	1085	24651	1	29	10	0	0	3	5	0	0	0
3686	Hoàng S¡c Túc C¥u	0	70	7699	0	10	7	-1	9	20	1	0.1	-1	0	2461	1101	2461	1101	27279	2664	0	0	1537	162	7	7	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	79	8639	2643	1241	2643	1241	30763	1	29	10	0	0	3	5	0	0	0
3687	Hoàng S¡c Túc C¥u	0	80	9471	0	10	7	-1	9	20	1	0.1	-1	0	2810	1257	2810	1257	33745	3042	0	0	1950	185	8	8	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	89	10483	2976	1397	2976	1397	37519	1	29	10	0	0	3	5	0	0	0
3688	Hoàng S¡c Túc C¥u	0	90	11830	0	10	7	-1	9	20	1	0.1	-1	0	3461	1413	3461	1413	40857	3420	0	0	2192	208	9	9	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	99	12958	3308	1554	3308	1554	44921	1	29	10	0	0	3	5	0	0	0
3689	Hoàng S¡c Túc C¥u	0	100	13282	0	10	7	-1	9	20	1	0.1	-1	0	4177	1569	4177	1569	48614	3798	0	0	2434	231	10	10	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1919	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_3	1200	2400	109	14433	3641	1710	3641	1710	52968	1	29	10	0	0	3	5	0	0	0
3690	H°ng S¡c Túc C¥u	0	10	690	0	10	7	-1	9	20	1	0.1	-1	0	348	163	348	163	506	396	0	0	122	24	2	2	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	19	1138	647	304	647	304	3769	1	29	10	0	0	3	5	0	0	0
3691	H°ng S¡c Túc C¥u	0	20	1387	0	10	7	-1	9	20	1	0.1	-1	0	681	319	681	319	4623	774	0	0	237	47	3	3	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	29	1911	980	460	980	460	6655	1	29	10	0	0	3	5	0	0	0
3692	H°ng S¡c Túc C¥u	0	30	2249	0	10	7	-1	9	20	1	0.1	-1	0	1013	476	1013	476	7864	1152	0	0	352	70	4	4	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	39	2843	1313	616	1313	616	10186	1	29	10	0	0	3	5	0	0	0
3693	H°ng S¡c Túc C¥u	0	40	3278	0	10	7	-1	9	20	1	0.1	-1	0	1346	632	1346	632	11750	1530	0	0	589	93	5	5	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	49	3947	1645	773	1645	773	14363	1	29	10	0	0	3	5	0	0	0
3694	H°ng S¡c Túc C¥u	0	50	4472	0	10	7	-1	9	20	1	0.1	-1	0	1762	788	1762	788	16281	1908	0	0	857	116	6	6	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	59	5217	1978	929	1978	929	19184	1	29	10	0	0	3	5	0	0	0
3695	H°ng S¡c Túc C¥u	0	60	5824	0	10	7	-1	9	20	1	0.1	-1	0	2112	944	2112	944	21457	2286	0	0	1173	139	7	7	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	69	6645	2311	1085	2311	1085	24651	1	29	10	0	0	3	5	0	0	0
3696	H°ng S¡c Túc C¥u	0	70	7699	0	10	7	-1	9	20	1	0.1	-1	0	2461	1101	2461	1101	27279	2664	0	0	1537	162	7	7	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	79	8639	2643	1241	2643	1241	30763	1	29	10	0	0	3	5	0	0	0
3697	H°ng S¡c Túc C¥u	0	80	9471	0	10	7	-1	9	20	1	0.1	-1	0	2810	1257	2810	1257	33745	3042	0	0	1950	185	8	8	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	89	10483	2976	1397	2976	1397	37519	1	29	10	0	0	3	5	0	0	0
3698	H°ng S¡c Túc C¥u	0	90	11830	0	10	7	-1	9	20	1	0.1	-1	0	3461	1413	3461	1413	40857	3420	0	0	2192	208	9	9	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	99	12958	3308	1554	3308	1554	44921	1	29	10	0	0	3	5	0	0	0
3699	H°ng S¡c Túc C¥u	0	100	13282	0	10	7	-1	9	20	1	0.1	-1	0	4177	1569	4177	1569	48614	3798	0	0	2434	231	10	10	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1917	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_16	1200	2400	109	14433	3641	1710	3641	1710	52968	1	29	10	0	0	3	5	0	0	0
3700	Lam S¡c Túc C¥u	0	10	690	0	10	7	-1	9	20	1	0.1	-1	0	348	163	348	163	506	396	0	0	122	24	2	2	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	19	1138	647	304	647	304	3769	1	29	10	0	0	3	5	0	0	0
3701	Lam S¡c Túc C¥u	0	20	1387	0	10	7	-1	9	20	1	0.1	-1	0	681	319	681	319	4623	774	0	0	237	47	3	3	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	29	1911	980	460	980	460	6655	1	29	10	0	0	3	5	0	0	0
3702	Lam S¡c Túc C¥u	0	30	2249	0	10	7	-1	9	20	1	0.1	-1	0	1013	476	1013	476	7864	1152	0	0	352	70	4	4	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	39	2843	1313	616	1313	616	10186	1	29	10	0	0	3	5	0	0	0
3703	Lam S¡c Túc C¥u	0	40	3278	0	10	7	-1	9	20	1	0.1	-1	0	1346	632	1346	632	11750	1530	0	0	589	93	5	5	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	49	3947	1645	773	1645	773	14363	1	29	10	0	0	3	5	0	0	0
3704	Lam S¡c Túc C¥u	0	50	4472	0	10	7	-1	9	20	1	0.1	-1	0	1762	788	1762	788	16281	1908	0	0	857	116	6	6	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	59	5217	1978	929	1978	929	19184	1	29	10	0	0	3	5	0	0	0
3705	Lam S¡c Túc C¥u	0	60	5824	0	10	7	-1	9	20	1	0.1	-1	0	2112	944	2112	944	21457	2286	0	0	1173	139	7	7	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	69	6645	2311	1085	2311	1085	24651	1	29	10	0	0	3	5	0	0	0
3706	Lam S¡c Túc C¥u	0	70	7699	0	10	7	-1	9	20	1	0.1	-1	0	2461	1101	2461	1101	27279	2664	0	0	1537	162	7	7	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	79	8639	2643	1241	2643	1241	30763	1	29	10	0	0	3	5	0	0	0
3707	Lam S¡c Túc C¥u	0	80	9471	0	10	7	-1	9	20	1	0.1	-1	0	2810	1257	2810	1257	33745	3042	0	0	1950	185	8	8	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	89	10483	2976	1397	2976	1397	37519	1	29	10	0	0	3	5	0	0	0
3708	Lam S¡c Túc C¥u	0	90	11830	0	10	7	-1	9	20	1	0.1	-1	0	3461	1413	3461	1413	40857	3420	0	0	2192	208	9	9	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	99	12958	3308	1554	3308	1554	44921	1	29	10	0	0	3	5	0	0	0
3709	Lam S¡c Túc C¥u	0	100	13282	0	10	7	-1	9	20	1	0.1	-1	0	4177	1569	4177	1569	48614	3798	0	0	2434	231	10	10	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1920	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_4	1200	2400	109	14433	3641	1710	3641	1710	52968	1	29	10	0	0	3	5	0	0	0
3710	Hoa S¡c Túc C¥u	0	10	414	0	10	0	106	9	20	1	0.1	-1	0	2090	163	2090	163	316	396	0	0	122	24	2	2	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	19	683	3887	304	3887	304	2355	1	29	10	0	0	3	5	0	0	0
3711	Hoa S¡c Túc C¥u	0	20	832	0	10	0	106	9	20	1	0.1	-1	0	4086	319	4086	319	2889	774	0	0	237	47	3	3	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	29	1146	5882	460	5882	460	4159	1	29	10	0	0	3	5	0	0	0
3712	Hoa S¡c Túc C¥u	0	30	1349	0	10	0	106	9	20	1	0.1	-1	0	6082	476	6082	476	4915	1152	0	0	352	70	4	4	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	39	1706	7878	616	7878	616	6366	1	29	10	0	0	3	5	0	0	0
3713	Hoa S¡c Túc C¥u	0	40	1966	0	10	0	106	9	20	1	0.1	-1	0	8078	632	8078	632	7344	1530	0	0	589	93	5	5	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	49	2368	9874	773	9874	773	8976	1	29	10	0	0	3	5	0	0	0
3714	Hoa S¡c Túc C¥u	0	50	2683	0	10	0	106	9	20	1	0.1	-1	0	10577	788	10577	788	10176	1908	0	0	857	116	6	6	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	59	3130	11870	929	11870	929	11990	1	29	10	0	0	3	5	0	0	0
3715	Hoa S¡c Túc C¥u	0	60	3494	0	10	0	106	9	20	1	0.1	-1	0	12673	944	12673	944	13411	2286	0	0	1173	139	7	7	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	69	3987	13866	1085	13866	1085	15407	1	29	10	0	0	3	5	0	0	0
3716	Hoa S¡c Túc C¥u	0	70	4619	0	10	0	106	9	20	1	0.1	-1	0	14769	1101	14769	1101	17049	2664	0	0	1537	162	7	7	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	79	5183	15862	1241	15862	1241	19226	1	29	10	0	0	3	5	0	0	0
3717	Hoa S¡c Túc C¥u	0	80	5682	0	10	0	106	9	20	1	0.1	-1	0	16864	1257	16864	1257	21091	3042	0	0	1950	185	8	8	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	89	6290	17858	1397	17858	1397	23449	1	29	10	0	0	3	5	0	0	0
3718	Hoa S¡c Túc C¥u	0	90	7098	0	10	0	106	9	20	1	0.1	-1	0	20766	1413	20766	1413	25536	3420	0	0	2192	208	9	9	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	99	7775	19853	1554	19853	1554	28076	1	29	10	0	0	3	5	0	0	0
3719	Hoa S¡c Túc C¥u	0	100	7969	0	10	0	106	9	20	1	0.1	-1	0	25066	1569	25066	1569	30384	3798	0	0	2434	231	10	10	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1918	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_17	1200	2400	109	8660	21849	1710	21849	1710	33105	1	29	10	0	0	3	5	0	0	0
3720	Boss Túc C¥u	0	10	11739	0	10	0	216	9	40	3	0.1	-1	1	1452	1364	1452	1364	13200	1650	0	0	510	102	9	9	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	19	19369	2699	2535	2699	2535	98160	1	29	10	0	0	3	4	0	0	0
3721	Boss Túc C¥u	0	20	23596	0	10	0	216	9	40	3	0.1	-1	1	2838	2666	2838	2666	120400	3225	0	0	990	198	13	13	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	29	32518	4085	3837	4085	3837	173320	1	29	10	0	0	3	4	0	0	0
3722	Boss Túc C¥u	0	30	38270	0	10	0	216	9	40	3	0.1	-1	1	4224	3968	4224	3968	204800	4800	0	0	1470	294	17	17	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	39	48366	5471	5139	5471	5139	265280	1	29	10	0	0	3	4	0	0	0
3723	Boss Túc C¥u	0	40	55761	0	10	0	216	9	40	3	0.1	-1	1	5610	5270	5610	5270	306000	6375	0	0	2457	390	21	21	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	49	67149	6857	6441	6857	6441	374040	1	29	10	0	0	3	4	0	0	0
3724	Boss Túc C¥u	0	50	76071	0	10	0	216	9	40	3	0.1	-1	1	7345	6572	7345	6572	424000	7950	0	0	3572	486	25	25	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	59	88749	8243	7743	8243	7743	499600	1	29	10	0	0	3	4	0	0	0
3725	Boss Túc C¥u	0	60	99080	0	10	0	216	9	40	3	0.1	-1	1	8801	7874	8801	7874	558800	9525	0	0	4888	582	29	29	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	69	113050	9629	9045	9629	9045	641960	1	29	10	0	0	3	4	0	0	0
3726	Boss Túc C¥u	0	70	130977	0	10	0	216	9	40	3	0.1	-1	1	10256	9176	10256	9176	710400	11100	0	0	6407	678	33	33	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	79	146965	11015	10347	11015	10347	801120	1	29	10	0	0	3	4	0	0	0
3727	Boss Túc C¥u	0	80	161108	0	10	0	216	9	40	3	0.1	-1	1	11711	10478	11711	10478	878800	12675	0	0	8127	774	37	37	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	89	178326	12401	11649	12401	11649	977080	1	29	10	0	0	3	4	0	0	0
3728	Boss Túc C¥u	0	90	201246	0	10	0	216	9	40	3	0.1	-1	1	14421	11780	14421	11780	1064000	14250	0	0	9135	870	41	41	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	99	220431	13787	12951	13787	12951	1169840	1	29	10	0	0	3	4	0	0	0
3729	Boss Túc C¥u	0	100	225932	0	10	0	216	9	40	3	0.1	-1	1	17407	13082	17407	13082	1266000	15825	0	0	10143	966	45	45	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1921	1	1	-1	100	100	set:FightNPCHeader8 image:FightNPCHeader8_5	1200	2400	109	245520	15173	14253	15173	14253	1379400	1	29	10	0	0	3	4	0	0	0
3730	Hoàng Ði¬u	0	10	131	0	10	0	200	19	20	1	0.1	-1	0	1393	163	1393	163	950	396	0	0	122	24	2	2	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	1	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	19	216	2591	304	2591	304	7067	1	0	10	0	0	4	5	0	0	0
3731	Hoàng Ði¬u	0	20	264	0	10	0	200	19	20	1	0.1	-1	0	2724	319	2724	319	8668	774	0	0	237	47	3	3	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	1	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	29	364	3921	460	3921	460	12479	1	0	10	0	0	4	5	0	0	0
3732	Hoàng Ði¬u	0	30	428	0	10	0	200	19	20	1	0.1	-1	0	4055	476	4055	476	14745	1152	0	0	352	70	4	4	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	1	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	39	541	5252	616	5252	616	19100	1	0	10	0	0	4	5	0	0	0
3733	Hoàng Ði¬u	0	40	624	0	10	0	200	19	20	1	0.1	-1	0	5385	632	5385	632	22032	1530	0	0	589	93	5	5	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	0	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	49	751	6583	773	6583	773	26930	1	0	10	1	0	4	5	2	0	0
3734	Hoàng Ði¬u	0	50	851	0	10	0	200	19	20	1	0.1	-1	0	7051	788	7051	788	30528	1908	0	0	857	116	6	6	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	0	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	59	993	7913	929	7913	929	35971	1	0	10	1	0	4	5	2	0	0
3735	Hoàng Ði¬u	0	60	1109	0	10	0	200	19	20	1	0.1	-1	0	8449	944	8449	944	40233	2286	0	0	1173	139	7	7	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	0	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	69	1265	9244	1085	9244	1085	46221	1	0	10	1	0	4	5	2	0	0
3736	Hoàng Ði¬u	0	70	1399	0	10	0	200	19	20	1	0.1	-1	0	9846	1101	9846	1101	51148	2664	0	0	1537	162	7	7	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	0	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	79	1570	10574	1241	10574	1241	57680	1	0	10	1	0	4	5	2	0	0
3737	Hoàng Ði¬u	0	80	1722	0	10	0	200	19	20	1	0.1	-1	0	11243	1257	11243	1257	63273	3042	0	0	1950	185	8	8	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	0	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	89	1906	11905	1397	11905	1397	70349	1	0	10	1	0	4	5	2	0	0
3738	Hoàng Ði¬u	0	90	1971	0	10	0	200	19	20	1	0.1	-1	0	13844	1413	13844	1413	76608	3420	0	0	2192	208	9	9	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	0	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	99	2159	13235	1554	13235	1554	84228	1	0	10	1	0	4	5	2	0	0
3739	Hoàng Ði¬u	0	100	2213	0	10	0	200	19	20	1	0.1	-1	0	16711	1569	16711	1569	91152	3798	0	0	2434	231	10	10	0	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1931	1	0	-1	100	100	set:PetHeader2 image:PetHeader2_11	1200	2400	109	2405	14566	1710	14566	1710	99316	1	0	10	1	0	4	5	2	0	0
