INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
107	Tháp Lâm	64	64	tongrenxiang.scene	tongrenxiang.path	tongrenxiang.wCollision	tongrenxiang.jpg	148	60000	tongrenxiang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Tháp Lâm	0.0;0.0
108	Ngû Th¥n Ðµng	64	64	wushendong.scene	wushendong.path	wushendong.wCollision	wushendong.jpg	416	60000	wushendong	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ngû Th¥n Ðµng	0.0;0.0
109	Chiªt Mai Phong	64	64	zhemeifeng.scene	zhemeifeng.path	zhemeifeng.wCollision	zhemeifeng.jpg	416	60000	zhemeifeng	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Chiªt Mai Phong	0.0;0.0
110	Huy®t Mµ	64	64	muxue.scene	muxue.path	muxue.wCollision	muxue.jpg	416	60000	muxue	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Huy®t mµ	0.0;0.0
111	Chân Tháp	64	64	tadi.scene	tadi.path	tadi.wCollision	tadi.jpg	416	60000	tadi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Chân tháp	0.0;0.0
112	Huy«n Vû Ðäo	320	320	petisland.scene	petisland.path	petisland.wCollision	petisland.jpg	116	60000	petisland	970	465	973	492	Sign20	MiniMap_Icon3	XuanWuDao_Normal	MiniMap_Icon3	XuanWuDao_Normal	Huy«n Võ ðäo #rCänh b¡t trân thú #rNh§p núi Thánh Thú	0.0;0.0
113	Tø Hi«n Trang	128	128	juxian_1.scene	juxian_1.path	juxian_1.wCollision	juxian_1.jpg	142	60000	juxian	0	0	0	0	Sign11	MiniMap_Icon	JuXianZhuang_Normal	MiniMap_Icon	JuXianZhuang_Hover	Tø hi«n trang #rCänh sñ ki®n	0.0;0.0
114	Yªn TØ ‘	128	128	yanzi_1.scene	yanzi_1.path	yanzi_1.wCollision	qiongzhou.jpg	142	60000	yanzi	0	0	0	0	Sign11	MiniMap_Icon	YanZiWu_Normal	MiniMap_Icon	YanZiWu_Hover	Yªn TØ ‘ #rCänh sñ ki®n	0.0;0.0
115	Nh¤t Ph¦m Ðß¶ng	128	128	yipin_1.scene	yipin_1.path	yipin_1.wCollision	qiongzhou.jpg	144	60000	yipin_1	0	0	0	0	Sign11	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Nh¤t ph¦m ðß¶ng #rCänh sñ ki®n	0.0;0.0
116	Núi Lôi C±	128	128	leigu.scene	leigu.path	leigu.wCollision	qiongzhou.jpg	117	60000	leigu	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Núi Lôi C± 	0.0;0.0
117	Núi Lôi C±	128	128	leigu_1.scene	leigu_1.path	leigu_1.wCollision	qiongzhou.jpg	147	60000	leigu	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Núi Lôi C± 	0.0;0.0
118	VÕn Kiªp C¯c	128	128	wanjie.scene	wanjie.path	wanjie.wCollision	qiongzhou.jpg	120	60000	wanjie	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	VÕn Kiªp C¯c	0.0;0.0
119	VÕn Kiªp C¯c	128	128	wanjie_1.scene	wanjie_1.path	wanjie_1.wCollision	qiongzhou.jpg	119	60000	wanjie	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	VÕn Kiªp C¯c	0.0;0.0
120	Thß½ng Mang S½n	128	128	cangmang.scene	cangmang.path	cangmang.wCollision	qiongzhou.jpg	117	60000	cangmang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
121	Thß½ng Mang S½n	128	128	cangmang_1.scene	cangmang_1.path	cangmang_1.wCollision	qiongzhou.jpg	117	60000	cangmang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
122	Ti¬u Mµc Nhân HÕng	96	96	newbie_1.scene	newbie_1.path	newbie_1.wCollision	qiongzhou.jpg	416	60000	newbie_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
123	H§u Hoa Viên	128	128	newbie_2.scene	newbie_2.path	newbie_2.wCollision	qiongzhou.jpg	416	60000	newbie_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
124	Chþ Phiên	64	64	jishi.scene	jishi.path	jishi.wCollision	qiongzhou.jpg	107	60000	jishi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
125	Khoáng Trß¶ng	64	64	kuangchang.scene	kuangchang.path	kuangchang.wCollision	qiongzhou.jpg	416	60000	kuangchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
126	Møc Trß¶ng	128	128	muchang.scene	muchang.path	muchang.wCollision	qiongzhou.jpg	107	60000	muchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
127	Thß Phòng	64	64	shuge.scene	shuge.path	shuge.wCollision	qiongzhou.jpg	143	20000	shuge	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
128	Th¸ T§p	64	64	shiji.scene	shiji.path	shiji.wCollision	qiongzhou.jpg	140	60000	jishi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
129	NhÕn Nam S½n Ðµng	128	192	shandong_1.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
130	NhÕn B¡c S½n Ðµng	128	192	shandong_2.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
131	Tây H° S½n Ðµng	128	192	shandong_3.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
132	Thß½ng S½n S½n Ðµng	128	192	shandong_4.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_4	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
133	Quang Minh Ðµng	64	64	guangmingdong_1.scene	guangmingdong.path	guangmingdong.wCollision	guangmingdong.jpg	117	60000	guangmingdong	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Quang Minh ðµng	0.0;0.0
134	Ðáy C¯c Tiêu Dao	64	64	gudi_1.scene	gudi.path	gudi.wCollision	gudi.jpg	146	60000	gudiscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ðáy c¯c Tiêu Dao	0.0;0.0
135	Linh Tính Phong	64	64	lingxingfeng_1.scene	lingxingfeng.path	lingxingfeng.wCollision	lingxingfeng.jpg	120	60000	lingxingfeng	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Linh Tính Phong	0.0;0.0
136	Cái Bang TØu Diªu	64	64	jiujiao_1.scene	jiujiao.path	jiujiao.wCollision	jiujiao.jpg	117	60000	jiujiao	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Cái Bang TØu Diªu	0.0;0.0
137	Ðào Hoa Tr§n	64	64	taohuazhen_1.scene	taohuazhen.path	taohuazhen.wCollision	taohuazhen.jpg	147	60000	taohuazhen	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ðào Hoa Tr§n	0.0;0.0
138	Tháp Lâm	64	64	tongrenxiang_1.scene	tongrenxiang.path	tongrenxiang.wCollision	tongrenxiang.jpg	148	60000	tongrenxiang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Tháp Lâm	0.0;0.0
139	Ngû Th¥n Ðµng	64	64	wushendong_1.scene	wushendong.path	wushendong.wCollision	wushendong.jpg	416	60000	wushendong	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ngû Th¥n Ðµng	0.0;0.0
140	Chiªt Mai Phong	64	64	zhemeifeng_1.scene	zhemeifeng.path	zhemeifeng.wCollision	zhemeifeng.jpg	416	60000	zhemeifeng	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Chiªt Mai Phong	0.0;0.0
141	Chân Tháp	64	64	tadi_1.scene	tadi.path	tadi.wCollision	tadi.jpg	416	60000	tadi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Chân tháp	0.0;0.0
142	Quang Minh Ðµng	64	64	guangmingdong_2.scene	guangmingdong.path	guangmingdong.wCollision	guangmingdong.jpg	117	60000	guangmingdong	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Quang Minh ðµng	0.0;0.0
143	Ðáy C¯c Tiêu Dao	64	64	gudi_2.scene	gudi.path	gudi.wCollision	gudi.jpg	146	60000	gudiscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ðáy c¯c Tiêu Dao	0.0;0.0
144	Linh Tính Phong	64	64	lingxingfeng_2.scene	lingxingfeng.path	lingxingfeng.wCollision	lingxingfeng.jpg	120	60000	lingxingfeng	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Linh Tính Phong	0.0;0.0
145	Cái Bang TØu Diªu	64	64	jiujiao_2.scene	jiujiao.path	jiujiao.wCollision	jiujiao.jpg	117	60000	jiujiao	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Cái Bang TØu Diªu	0.0;0.0
146	Ðào Hoa Tr§n	64	64	taohuazhen_2.scene	taohuazhen.path	taohuazhen.wCollision	taohuazhen.jpg	147	60000	taohuazhen	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ðào Hoa Tr§n	0.0;0.0
147	Tháp Lâm	64	64	tongrenxiang_2.scene	tongrenxiang.path	tongrenxiang.wCollision	tongrenxiang.jpg	148	60000	tongrenxiang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Tháp Lâm	0.0;0.0
148	Ngû Th¥n Ðµng	64	64	wushendong_2.scene	wushendong.path	wushendong.wCollision	wushendong.jpg	416	60000	wushendong	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ngû Th¥n Ðµng	0.0;0.0
149	Chiªt Mai Phong	64	64	zhemeifeng_2.scene	zhemeifeng.path	zhemeifeng.wCollision	zhemeifeng.jpg	416	60000	zhemeifeng	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Chiªt Mai Phong	0.0;0.0
150	Chân Tháp	64	64	tadi_2.scene	tadi.path	tadi.wCollision	tadi.jpg	416	60000	tadi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Chân tháp	0.0;0.0
151	Th¸ T§p	64	64	shiji_1.scene	shiji.path	shiji.wCollision	qiongzhou.jpg	140	60000	jishi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
152	Th¸ T§p	64	64	shiji_2.scene	shiji.path	shiji.wCollision	qiongzhou.jpg	140	60000	jishi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
153	Công Ð¸a	64	64	gongdi.scene	gongdi.path	gongdi.wCollision	qiongzhou.jpg	122	60000	gongdi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
154	Trß¶ng Võ	64	64	jiaochang.scene	jiaochang.path	jiaochang.wCollision	qiongzhou.jpg	141	60000	jiaochang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
155	Nha Môn	64	64	yamen.scene	yamen.path	yamen.wCollision	qiongzhou.jpg	142	60000	yamen	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
156	Tam Xuân Huy¬n Cänh	64	64	huanjing_1.scene	huanjing_1.path	huanjing_1.wCollision	qiongzhou.jpg	121	60000	huanjing_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
157	Tam HÕ Huy¬n Cänh	64	64	huanjing_2.scene	huanjing_1.path	huanjing_1.wCollision	qiongzhou.jpg	121	60000	huanjing_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
158	Tam Thu Huy¬n Cänh	64	64	huanjing_3.scene	huanjing_1.path	huanjing_1.wCollision	qiongzhou.jpg	121	60000	huanjing_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
159	Tam Ðông Huy¬n Cänh	64	64	huanjing_4.scene	huanjing_1.path	huanjing_1.wCollision	qiongzhou.jpg	121	60000	huanjing_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
160	Möm Núi Tr§n Ð¸a N½i Biên Quan	64	64	bianguan_1.scene	bianguan_1.path	bianguan_1.wCollision	qiongzhou.jpg	121	60000	bianguan_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
161	Möm Núi Tr§n Ð¸a N½i Biên Quan	64	64	bianguan_2.scene	bianguan_1.path	bianguan_1.wCollision	qiongzhou.jpg	121	60000	bianguan_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
162	Möm Núi Tr§n Ð¸a N½i Biên Quan	64	64	bianguan_3.scene	bianguan_1.path	bianguan_1.wCollision	qiongzhou.jpg	121	60000	bianguan_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
163	Möm Núi Tr§n Ð¸a N½i Biên Quan	64	64	bianguan_4.scene	bianguan_1.path	bianguan_1.wCollision	qiongzhou.jpg	121	60000	bianguan_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
164	Tây H°	320	320	xihu_1.scene	xihu_1.path	xihu_1.wCollision	xihu.jpg	19	60000	xihu_1	0	0	0	0	Sign3	MiniMap_Icon2	XiHu_Normal	MiniMap_Icon2	XiHu_Hover	Quái v§t có ðÆng c¤p 20 - 26 #rLoÕi quái v§t g°m: #rThüy QuÖ Thám TØ, Hoa Cäng Ðµc Phong, #rÐoÕn Ki«u Hoa Yêu, BÕch Ðê Li­u QuÖ, #rLong Tinh ThuÖ T£c, #rQuy Vân Trang Khách.	0.2;0.2
165	Tàng Kinh Các	64	64	cangjing.scene	cangjing.path	cangjing.wCollision	qiongzhou.jpg	19	5000	shuge	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
166	Bäo Tàng Ðµng T¥ng 1	256	256	baozang_1.scene	baozang_1.path	baozang_1.wCollision	qiongzhou.jpg	120	60000	baozang_1	378	221	381	204	Sign13	MiniMap_Icon3	BaoZangDong_Normal	MiniMap_Icon3	BaoZangDong_Normal	Bäo Tàng Ðµng #r Toàn cänh trong ðµng #r Quái v§t có ðÆng c¤p 15 - 30 #r LoÕi quái v§t g°m: #r ÐÕo Mµ Ti¬u T£c, Sa MÕc Mã Phï #r Hµ Bäo Ð°ng Nhân, T¥m Bäo Hào Ki®t, #r Ðµng Huy®t ThÕch Nhân, Hµ Bäo Th¥n Thú.	0.0;0.0
167	Khäo Trß¶ng	64	64	kaochang.scene	yamen.path	yamen.wCollision	qiongzhou.jpg	121	60000	yamen	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
168	Hoa S½n Tuy®t Ðïnh	256	256	huashan.scene	huashan.path	huashan.wCollision	qiongzhou.jpg	140	20000	huashan	472	404	473	427	Sign14	MiniMap_Icon3	HuaShanZhiDian_Normal	MiniMap_Icon3	HuaShanZhiDian_Normal	Ðïnh Hoa S½n	0.0;0.0
169	Bäo Tàng Ðµng T¥ng 2	256	256	baozang_2.scene	baozang_2.path	baozang_2.wCollision	qiongzhou.jpg	121	60000	baozang_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
170	T£c Kh¤u Doanh Ð¸a	128	128	zeiying.scene	muchang.path	muchang.wCollision	qiongzhou.jpg	107	60000	muchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
171	Tàng Kinh Các	64	64	cangjing_1.scene	shuge.path	shuge.wCollision	qiongzhou.jpg	19	60000	shuge	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
172	Tàng Kinh Các	64	64	cangjing_2.scene	shuge.path	shuge.wCollision	qiongzhou.jpg	19	60000	shuge	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
173	Thiªu Lâm Tñ	192	192	shaolin_1.scene	shaolin.path	shaolin.WCollision	shaolin.jpg	105	60000	shaolinfb	0	0	0	0	Sign10	MiniMap_Icon	ShaoLinSi_Normal	MiniMap_Icon	ShaoLinSi_Hover	Môn phái #rT±ng ðà phái Thiªu Lâm	0.2;0.25
174	Cái Bang T±ng Ðà	192	192	gaibang_1.scene	gaibang.path	gaibang.wCollision	gaibang.jpg	102	60000	gaibangfb	0	0	0	0	Sign10	CommonStaticImage5	GaiBangZongDuo_Normal	CommonStaticImage5	GaiBangZongDuo_Hover	Môn phái #rT±ng ðà phái Cái Bang	0.2;0.2
175	Quang Minh Ði®n	192	192	mingjiao_1.scene	mingjiao.path	mingjiao.wCollision	mingjiao.jpg	106	60000	mingjiaofb	0	0	0	0	Sign6	MiniMap_Icon	GuangMingDing_Normal	MiniMap_Icon	GuangMingDing_Hover	Môn phái #rT±ng ðà Minh giáo	0.25;0.3
176	Núi Võ Ðang	144	224	wudang_1.scene	wudang.path	wudang.wCollision	wudang.jpg	102	60000	wudangfb	0	0	0	0	Sign6	MiniMap_Icon	WuDangShan_Normal	MiniMap_Icon	WuDangShan_Hover	Môn phái #rT±ng ðà phái Võ Ðang	0.2;0.2
177	Thiên Long Tñ	192	192	tianlong_1.scene	tianlong.path	tianlong.wCollision	tianlong.jpg	105	60000	tianlongfb	0	0	0	0	Sign10	CommonStaticImage5	TianLongSi_Normal	CommonStaticImage5	TianLongSi_Hover	Môn phái #rT±ng ðà phái Thiên Long	0.2;0.3
178	Ðµng Lång Ba	192	192	xiaoyao_1.scene	xiaoyao.path	xiaoyao.wCollision	xiaoyao.jpg	107	60000	xiaoyaofb	0	0	0	0	Sign6	MiniMap_Icon	LingBoDong_Normal	MiniMap_Icon	LingBoDong_Hover	Môn phái #rT±ng ðà phái Tiêu Dao	0.2;0.3
179	Nga My S½n	192	192	emei_1.scene	emei.path	emei.wCollision	emei.jpg	108	60000	emeifb	0	0	0	0	Sign6	MiniMap_Icon	EMeiShan_Normal	MiniMap_Icon	EMeiShan_Hover	Môn phái #rT±ng ðà phái Nga My	0.2;0.2
180	Tinh Túc Häi	192	192	xingxiu_1.scene	xingxiu.path	xingxiu.wCollision	xingxiu.jpg	109	60000	xingxiufb	0	0	0	0	Sign8	MiniMap_Icon	XingXiuHai_Normal	MiniMap_Icon	XingXiuHai_Hover	Môn phái #rT±ng ðà phái Tinh Túc	0.2;0.25
181	Thiên S½n	192	192	tianshan_1.scene	tianshan.path	tianshan.wCollision	tianshan.jpg	2037	30000	tianshanfb	0	0	0	0	Sign6	MiniMap_Icon2	TianShan_Normal	MiniMap_Icon2	TianShan_Hover	Môn phái #rT±ng ðà phái Thiên S½n	0.2;0.2
182	Thiªu Lâm Tñ	192	192	shaolin_2.scene	shaolin.path	shaolin.WCollision	shaolin.jpg	105	60000	shaolinfb	0	0	0	0	Sign10	MiniMap_Icon	ShaoLinSi_Normal	MiniMap_Icon	ShaoLinSi_Hover	Môn phái #rT±ng ðà phái Thiªu Lâm	0.2;0.25
183	Cái Bang T±ng Ðà	192	192	gaibang_2.scene	gaibang.path	gaibang.wCollision	gaibang.jpg	102	60000	gaibangfb	0	0	0	0	Sign10	CommonStaticImage5	GaiBangZongDuo_Normal	CommonStaticImage5	GaiBangZongDuo_Hover	Môn phái #rT±ng ðà phái Cái Bang	0.2;0.2
184	Quang Minh Ði®n	192	192	mingjiao_2.scene	mingjiao.path	mingjiao.wCollision	mingjiao.jpg	106	60000	mingjiaofb	0	0	0	0	Sign6	MiniMap_Icon	GuangMingDing_Normal	MiniMap_Icon	GuangMingDing_Hover	Môn phái #rT±ng ðà Minh giáo	0.25;0.3
185	Núi Võ Ðang	144	224	wudang_2.scene	wudang.path	wudang.wCollision	wudang.jpg	102	60000	wudangfb	0	0	0	0	Sign6	MiniMap_Icon	WuDangShan_Normal	MiniMap_Icon	WuDangShan_Hover	Môn phái #rT±ng ðà phái Võ Ðang	0.2;0.2
186	Thiên Long Tñ	192	192	tianlong_2.scene	tianlong.path	tianlong.wCollision	tianlong.jpg	105	60000	tianlongfb	0	0	0	0	Sign10	CommonStaticImage5	TianLongSi_Normal	CommonStaticImage5	TianLongSi_Hover	Môn phái #rT±ng ðà phái Thiên Long	0.2;0.3
187	Ðµng Lång Ba	192	192	xiaoyao_2.scene	xiaoyao.path	xiaoyao.wCollision	xiaoyao.jpg	107	60000	xiaoyaofb	0	0	0	0	Sign6	MiniMap_Icon	LingBoDong_Normal	MiniMap_Icon	LingBoDong_Hover	Môn phái #rT±ng ðà phái Tiêu Dao	0.2;0.3
188	Nga My S½n	192	192	emei_2.scene	emei.path	emei.wCollision	emei.jpg	108	60000	emeifb	0	0	0	0	Sign6	MiniMap_Icon	EMeiShan_Normal	MiniMap_Icon	EMeiShan_Hover	Môn phái #rT±ng ðà phái Nga My	0.2;0.2
189	Tinh Túc Häi	192	192	xingxiu_2.scene	xingxiu.path	xingxiu.wCollision	xingxiu.jpg	109	60000	xingxiufb	0	0	0	0	Sign8	MiniMap_Icon	XingXiuHai_Normal	MiniMap_Icon	XingXiuHai_Hover	Môn phái #rT±ng ðà phái Tinh Túc	0.2;0.25
190	Thiên S½n	192	192	tianshan_2.scene	tianshan.path	tianshan.wCollision	tianshan.jpg	2037	30000	tianshanfb	0	0	0	0	Sign6	MiniMap_Icon2	TianShan_Normal	MiniMap_Icon2	TianShan_Hover	Môn phái #rT±ng ðà phái Thiên S½n	0.2;0.2
191	Bäo Tàng Ðµng T¥ng 3	256	256	baozang_3.scene	baozang_3.path	baozang_3.wCollision	qiongzhou.jpg	417	60000	baozang_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
192	Bäo Tàng Ðµng T¥ng 4	256	256	baozang_4.scene	baozang_4.path	baozang_4.wCollision	qiongzhou.jpg	144	60000	baozang_4	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
193	Bäo Tàng Ðµng T¥ng 5	256	256	baozang_5.scene	baozang_5.path	baozang_5.wCollision	qiongzhou.jpg	143	60000	baozang_5	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
194	Giám Ngøc	96	96	prison.scene	prison.path	prison.wCollision	qiongzhou.jpg	416	60000	prison	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
195	TÖ Võ Hµi Trß¶ng	256	256	dataosha.scene	dataosha.path	dataosha.wCollision	qiongzhou.jpg	121	60000	dataosha	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
196	L­ Ðß¶ng Ph± Thông	64	96	wedding_1.scene	wedding_1.path	wedding_1.wCollision	qiongzhou.jpg	428	20000	wedding_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
197	L­ Ðß¶ng Cao C¤p	64	96	wedding_2.scene	wedding_2.path	wedding_2.wCollision	qiongzhou.jpg	428	20000	wedding_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
198	L­ Ðß¶ng Hào Hoa	64	96	wedding_3.scene	wedding_3.path	wedding_3.wCollision	qiongzhou.jpg	428	20000	wedding_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.0;0.0
