INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
345	2	224	179	H¥u bàn Trß½ng	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
346	2	128	132	Trß½ng HoÕch	Võ Ðang tiªp dçn ðÕo trß·ng	Võ Ðang	5	2
347	2	55	211	Trß½ng Linh Quân	TÕo ra bùa ð¸nh v¸	Ð¸nh v¸	5	4
348	2	87	163	Trß½ng Thª Bình	ÐÕi Lý thß½ng nhân	Bào thß½ng	6	3
349	2	236	279	Chung VÕn Thù			7	5
350	2	81	136	Châu Xß½ng	Xóa nhân v§t	Xóa nhân v§t	5	4
351	2	198	168	H¥u bàn Chu	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
352	2	50	175	Phó Kiªp Sinh	T§n sÑc tr× ác	Tr× ác	5	2
353	2	139	180	Vô Nhai TØ	Võ H°n	Võ H°n	5	2
354	2	141	180	Võ Ð°ng	Võ H°n	Ti¬u Thß Ð°ng	5	4
355	2	130	76	Khô Vinh ðÕi sß	Nhi®m vø Sát Tinh	Sát Tinh	7	4
356	2	132	75	Phá Tr¥n			7	4
357	2	129	76	Phá Phàm			7	4
358	2	150	123	Chúc Phúc Quý	Ngß¶i phát lß½ng	Ti«n Lß½ng	5	2
359	2	243	56	Täo Ð¸a Th¥n Tång	Ngß¶i truy«n thø tu luy®n	Tu luy®n	5	2
360	2	181	75	A lý	Tr°ng hoa ðßþc hoa	Ngß¶i tr°ng hoa	5	3
361	2	179	78	Ba Cái Lý	Tr°ng hoa ðßþc hoa	Hoa Thß½ng	5	3
362	3	34	55	Bän ð°: LÕc Dß½ng		V§n chuy¬n	99	2
363	3	285	135	Bän ð°: Thiªu Lâm Tñ		V§n chuy¬n	99	2
364	3	286	247	Bän ð°: Thái H°		V§n chuy¬n	99	2
365	3	50	179	BÕch NgÕch H±			1	5
366	3	200	67	Sài Tiªn			2	5
367	3	198	66	Ðinh L®			2	5
368	3	203	66	Ðinh Diªn			2	5
369	3	60	98	Ác Viên			1	5
370	3	281	243	Giang h° du y	Khôi phøc khí huyªt	Khôi phøc	2	5
371	3	280	202	Lß Nhai Ð°ng Nhân			1	5
372	3	181	82	Løc Ngßng Sß½ng			2	5
373	3	183	81	Løc Tùng			2	5
374	3	128	68	Môn Ðôn			1	5
375	3	46	56	Sách Lâm			2	5
376	3	282	79	Ð°ng QuÛ			1	5
377	3	210	79	Tiêu Nhßþng			2	5
378	3	89	74	Di Khí Mµc Nhân			1	5
379	3	246	239	Di Khí Ð°ng Nhân			1	5
380	3	196	193	Dînh ThuÖ Lang			1	5
381	4	280	32	Bän ð°: Cái Bang		V§n chuy¬n	99	2
382	4	286	230	B¯i cänh: Quang Minh Ði®n		V§n chuy¬n	99	2
383	4	91	23	Bän ð°: Tung S½n		V§n chuy¬n	99	2
384	4	215	281	Bän ð°: Tô Châu		V§n chuy¬n	99	2
385	4	116	183	Tào Thu¥n			2	5
386	4	67	77	Hô Diên Khánh	Nhi®m vø ThuÖ lao	ThuÖ lao	2	5
387	4	90	29	Giang h° du y	Khôi phøc khí huyªt	Khôi phøc	2	5
388	4	67	78	Kh¤u Tuân			2	5
389	4	70	119	Lý Cß½ng			2	5
390	4	113	190	Nghê Vân			2	5
391	4	244	142	Ðào Yêu Yêu	Ðào Hoa Tr§n	Dàn tr§n	2	2
392	5	285	44	Bän ð°: Tô Châu		V§n chuy¬n	99	2
393	5	38	284	Bän ð°: Vô Lßþng S½n		V§n chuy¬n	99	2
394	5	50	142	Trß·ng cänh: Mµ Dung		V§n chuy¬n	99	2
395	5	29	232	Bän ð°: Núi Võ Ðang		V§n chuy¬n	99	2
396	5	199	54	T« Sát Vân	Kính H° Th± Phï	Sào huy®t cüa phï	2	5
397	5	108	140	Nguy­n Tinh Trúc			2	5
398	6	32	176	Bän ð°: ÐÕi Lý		V§n chuy¬n	99	2
399	6	287	77	Bän ð°: Kính H°		V§n chuy¬n	99	2
400	6	116	32	Bän ð°: Lång Ba Ðµng		V§n chuy¬n	99	2
401	6	94	286	Bän ð°: Thiên Long Tñ		V§n chuy¬n	99	2
402	6	45	167	Tân Nhân B¢ng	Hß¾ng dçn tân thü	Tân thü	2	3
403	6	235	131	B¯ Nhî Thi®n			1	5
404	6	138	80	ÐÕi Hoàng Phong			1	5
405	6	273	210	ÐÕi Thiªt Võng			1	5
406	6	197	160	Phß½ng Quang Trí			2	5
407	6	240	181	Can Quang Hào			2	5
408	6	87	159	Cao S½n BÕch Viên			1	5
409	6	240	173	Cát Quang Bµi			2	5
410	6	271	202	Cung Quang Ki®t			2	5
411	6	197	153	H¥u Quang các hÕ			2	5
412	6	235	184	Giä Quang ÐÕt			2	5
413	6	178	138	Ti­n Kính Ti¬u T£c			1	5
414	6	274	77	Giang h° du y	Khôi phøc khí huyªt	Khôi phøc	2	5
415	6	234	175	Lý Quang Bích			2	5
416	6	190	137	Lô Vi Thäo Nhân			1	5
417	6	92	128	Mã Ngû ÐÑc			2	5
418	6	128	192	S½n Thù			1	5
419	6	202	82	Thi¬m Ði®n Báo			1	5
420	6	234	176	Tôn Quang Lßþng			2	5
421	6	133	125	Vß½ng Khuê			2	5
422	6	133	123	Vß½ng Ti¬u Nha			2	5
423	6	240	175	Tân Song Thanh			2	5
424	6	101	143	Tiªt ðÕi nß½ng			2	5
425	6	111	117	Tiªt V§n Lai			2	5
426	6	237	171	T× Quang NgÕn			2	5
427	6	254	171	Chung Linh	Nhi®m vø k¸ch tình		2	5
428	6	240	180	Tä TØ Møc			2	5
429	7	36	286	Bän ð°: ÐÕi Lý		V§n chuy¬n	99	2
430	7	105	40	Bän ð°: Ðôn Hoàng		V§n chuy¬n	99	2
431	7	285	172	Bän ð°: Núi Nga My		V§n chuy¬n	99	2
432	7	41	273	Tân Nhân Hæu	Hß¾ng dçn tân thü	Tân thü	2	3
433	7	197	216	BÕch Mao Thäo Nhân			1	5
434	7	167	150	ÐÕi Ki¬m			1	5
435	7	147	229	Phù Ki«u			1	5
436	7	209	146	QuÖ Di®n Chu Nho			1	5
437	7	208	68	Khß½ng Hoá			2	5
438	7	215	43	Khß½ng Quª Chi			2	5
439	7	221	68	Khß½ng MÕt			2	5
440	7	220	76	Khß½ng Nam			2	5
441	7	110	45	Giang h° du y	Khôi phøc khí huyªt	Khôi phøc	2	5
442	7	263	201	Th¶i MÕi			2	5
443	7	279	194	Th¶i Thiên			2	5
444	7	65	252	Thøc ÐÕo BÕch Viên			1	5
445	7	67	133	Thøc ÐÕo H¡c Viên			1	5
446	7	67	168	Võ Không			1	5
447	7	233	139	Tu La Ti¬u QuÖ			1	5
448	7	126	141	Án Kì ÐÕo			2	5
449	7	230	119	Du Mµc Kh±i L²i			1	5
450	7	248	71	Doanh Vô Danh	Ð±i l¤y bµ trang b¸ T¥n Hoàng	Ð±i	2	4
451	7	281	81	Long Giä	T¥n Ð¸a Cung	V§n chuy¬n	2	1
452	7	147	48	Ðào Yêu Yêu	Ðào Hoa Tr§n	Dàn tr§n	2	2
453	8	149	38	Bän ð°: Bäo Tàng Ðµng		V§n chuy¬n	99	2
454	8	231	286	Bän ð°: Kiªm Các		V§n chuy¬n	99	2
455	8	284	146	Bän ð°: LÕc Dß½ng		V§n chuy¬n	99	2
456	8	55	34	Bän ð°: Thiên S½n		V§n chuy¬n	99	2
457	8	33	277	Bän ð°: Tinh Túc Häi		V§n chuy¬n	99	2
458	8	71	107	Uông Diên	Höa Di®m S½n	V§n chuy¬n	2	2
459	8	155	180	Tàn Phá Binh Võng			1	5
460	8	64	63	Tào Diên Hu®			2	5
461	8	249	144	Tào Diên Th÷			2	5
462	8	55	202	Ác Viên			1	5
463	8	194	97	Hoang Nguyên Báo			1	5
464	8	252	177	H°i C¯t Vß½ng Næ			2	5
465	8	227	279	Giang h° du y	Khôi phøc khí huyªt	Khôi phøc	2	5
466	8	62	98	Cßu Ma Trí	Nhi®m vø k¸ch tình		2	5
467	8	81	99	Lý Tr÷ng Quý			1	5
468	8	109	261	Sa MÕc Mã Phï			1	5
469	8	238	165	Sa Pha Lang			1	5
470	8	252	144	Dß½ng Vån Quäng			2	5
471	8	223	216	Du Mµc Kh±i L²i			1	5
472	8	63	90	Tri®u Hành ÐÑc			2	5
473	8	150	45	Chu ÐÑc Hßng			2	5
474	8	63	81	Chu Vß½ng L­			2	5
475	8	166	95	Ðào Yêu Yêu	Ðào Hoa Tr§n	Dàn tr§n	2	2
476	9	96	156	Bän ð°: Tung S½n		V§n chuy¬n	99	2
477	9	125	88	Phß½ng Huy«n Lao			99	5
478	9	38	102	H°ng Thái Vân	Ngß¶i dÕy khinh công Thiªu Lâm	Khinh công	5	5
479	9	96	82	Tu® Phß½ng	Ngß¶i giao nhi®m vø phái Thiªu Lâm	Sß môn	5	3
480	9	93	132	Tu® Luân	Thiªu Lâm chuy¬n v§n sÑ	V§n chuy¬n	5	2
481	9	144	149	Mµ Dung Bác			99	5
482	9	70	105	Phan Huy«n Canh			99	5
483	9	122	143	Täo ð¸a lão tång			99	5
484	9	61	57	V® Huy«n V÷ng			99	5
485	9	39	152	Tiêu Vi­n S½n			99	5
486	9	89	72	Huy«n T¸ch	Ngß¶i bái sß cüa Thiªu Lâm	Bái sß	5	4
487	9	38	98	Huy«n T×	Ð±i v§t ph¦m danh xßng	Chß·ng môn	5	4
488	9	91	71	Huy«n NÕn	Ngß¶i dÕy võ phái Thiªu Lâm	Võ công	5	4
489	9	57	88	Huy«n Di®t	Ngß¶i truy«n thø kÛ nång cßÞi h±	KÜ	5	4
490	9	60	82	Huy«n Sinh	Ngß¶i quän lý h±	H±	5	4
491	9	135	90	Huy«n Minh	Ngß¶i truy«n thø kÛ nång ph§t pháp	 Ph§t pháp 	5	4
492	9	128	86	Huy«n Ðµ	Ngß¶i truy«n thø kÛ nång khai quang	 khai quang 	5	4
493	9	61	62	Huy«n Tr×ng			5	4
494	9	98	145	Huy«n ChÑng	Cao tång hµ tñ	Ðánh quái	5	4
495	9	100	127	Tri khách tång			5	4
496	10	91	158	Bän ð°: Thái H°		V§n chuy¬n	99	2
497	10	89	100	BÕch Thª Kính	Trß·ng lão ch¤p pháp Cái Bang		99	5
498	10	93	152	Âu Dß½ng Quä	Hµ v® t±ng ðà Cái Bang	Ðánh quái	5	4
499	10	41	144	Ph§t „n			5	4
500	10	92	77	H°ng Thông	Ngß¶i giao nhi®m vø Cái Bang	Sß môn	5	3
501	10	91	98	Tr¥n Cô NhÕn	Ngß¶i bái sß cüa Cái Bang	Bái sß	5	3
502	10	92	64	T¯ng T×	Ð±i v§t ph¦m danh xßng	Chß·ng môn	5	3
503	10	94	99	H« Tam Kì	Ngß¶i dÕy võ công Cái Bang	Võ công	5	3
504	10	38	89	Tß·ng Quang Ðình	Ngß¶i dÕy kÛ nång cßÞi sói	KÜ	5	3
505	10	54	86	Lý Nh§t Vi®t	Ngß¶i quän lý thú cßÞi: Sói	T÷a lang	5	3
506	10	114	91	Ngô Trß¶ng Phong	kÛ nång n¤u rßþu	 N¤u rßþu 	5	3
507	10	120	63	Toàn Quán Thanh			99	5
508	10	131	83	Thßþng Quan Trß¶ng Vû	Ngß¶i truy«n thø kÛ nång Liên Hoa LÕc	Liên Hoa	99	5
509	10	112	90	Ngô Tuyªt Ki«u	Ngß¶i dÕy khinh công Cái Bang	Khinh công	5	4
510	10	117	61	Lßu Trúc Trang			99	4
511	10	95	120	Trß½ng Toàn Tß¶ng	Cái Bang chuy¬n v§n sÑ	V§n chuy¬n	5	2
512	10	89	111	Tri Khách Cái	Ngß¶i chï ðß¶ng môn phái		5	4
513	11	97	173	Bän ð°: Thái H°		V§n chuy¬n	99	2
514	11	133	117	Phß½ng Bách Hoa	Minh Giáo khinh công truy«n thø sÑ	Khinh công	5	4
515	11	89	56	Phß½ng LÕp			5	4
516	11	102	167	Phß½ng Th¤t Ph§t	Minh giáo t¯ng ti­n sÑ	V§n chuy¬n	5	2
517	11	98	105	Lâm Nham	Minh Giáo nhi®m vø tuyên ðÕt sÑ	Sß môn	5	3
518	11	108	56	Lã Sß Tß½ng	Ngß¶i bái sß cüa Minh Giáo	Bái sß	5	3
519	11	98	52	Lâm Thª Trß¶ng	Ð±i v§t ph¦m danh xßng	Chß·ng môn	5	3
520	11	109	59	Bàng VÕn Xuân	Ngß¶i dÕy võ cüa Minh Giáo	Võ công	5	3
521	11	66	118	Lþi Thiên Hæu	Ngß¶i dÕy cßÞi thú	KÜ	5	3
522	11	64	115	Ð£ng Nguyên Giác	Chß·ng quän cßÞi thú	Sß TØ	5	3
523	11	87	61	Thù ðÕo nhân	Ngß¶i truy«n thø kÛ nång thánh höa thu§t	Thánh Höa	5	3
524	11	87	58	Phß½ng Thiên Ð¸nh	Ngß¶i truy«n thø Thái höa thu§t	Thái höa	5	3
525	11	133	118	Mã LÕp			99	5
526	11	95	161	ThÕc Cang	Minh giáo hµ v®	Ðánh quái	5	4
527	11	101	137	Dß ÐÕo An			99	5
528	11	93	167	Tri khách hµ v®	Ngß¶i chï ðß¶ng môn phái		5	4
529	12	95	191	Bän ð°: Kính H°		V§n chuy¬n	99	2
530	12	73	146	Trình Nhßþc Thanh			99	5
531	12	101	69	Hoàng Thß¶ng			99	5
532	12	65	109	Tînh S½ Tán Nhân	Ngß¶i dÕy khinh công Võ Ðang	Khinh công	5	4
533	12	86	84	CØu Thiên Th¥n HÕc			99	5
534	12	58	73	Lâm Linh T¯			5	4
535	12	101	136	MÕc Thái Xung	Ngß¶i chuy¬n tiªp cüa Võ Ðang	V§n chuy¬n	5	2
536	12	78	95	Trß½ng Trung Hành	Ngß¶i giao nhi®m vø Võ Ðang	Sß môn	5	3
537	12	77	85	Trß½ng Huy«n T¯	Ngß¶i bái sß Võ Ðang	Bái sß	5	3
538	12	82	84	Du Vi­n S½n	Ngß¶i dÕy võ công Võ Ðang	Võ công	5	3
539	12	102	112	Trß½ng Quân Ti­n	Ngß¶i truy«n thø kÛ nång cßÞi hÕc	KÜ	5	3
540	12	101	115	Trß½ng Quân Mµ	Ngß¶i quän lý tiên hÕc	Tiên hÕc	5	3
541	12	44	56	HÕc Vân ÐÕo Nhân	Ngß¶i truy«n thø kÛ nång luy®n ð½n	 Luy®n ðan 	5	3
542	12	41	58	Ninh Hß Tán Nhân	Ngß¶i truy«n thø kÛ nång ðÕo pháp	 ÐÕo pháp 	5	3
543	12	102	109	Thanh Minh Th¥n HÕc			99	5
544	12	74	85	Vô Cñc Th¥n HÕc			99	5
545	12	100	181	Tiêu Thiên D§t	Hµ s½n ðÕo nhân	Ðánh quái	5	4
546	12	98	70	Trß½ng Hàm Chi			99	5
547	12	86	181	Tri khách ðÕo nhân			5	4
548	12	98	139	Tri khách ðÕo nhân			5	4
549	13	95	145	Bän ð°: Vô Lßþng S½n		V§n chuy¬n	99	2
550	13	95	88	Bän Phàm	Ngß¶i ban phát nhi®m vø Thiên Long	Sß môn	5	3
551	13	96	66	Bän Nhân	Ngß¶i bái sß Thiên Long	Bái sß	5	3
552	13	97	67	Bän Quán	Ngß¶i truy«n thø võ công Thiên Long	Võ công	5	3
553	13	148	92	Dß½ng Thanh Ngßu	Ngß¶i truy«n thø kÛ nång cßÞi ngña	KÜ	5	3
554	13	146	95	Dß½ng BÕch Ngßu	Ngß¶i quän lý ngña	Ngña	5	3
555	13	64	151	Bän Tham	Ngß¶i truy«n thø kÛ nång kinh mÕch	Kinh mÕch	5	3
556	13	35	86	Bän Tß¾ng	Ngß¶i truy«n thø kÛ nång chª trùng	 Chª c± 	5	3
557	13	99	142	Hµ tñ trß·ng lão	Thiên Long trß·ng lão	Ðánh quái	5	4
558	13	158	130	Hà H°ng Lång			99	5
559	13	92	126	Lâm Qu¯c Thanh			99	5
560	13	99	120	Phá Sân	Thiên Long chuy¬n v§n sÑ	V§n chuy¬n	5	2
561	13	85	68	Phá Si			99	5
562	13	154	115	T× Qui Ði®p			99	5
563	13	129	153	Tang Phi Yªn			99	5
564	13	153	118	Th¸nh Nhß Lan	Ngß¶i dÕy khinh công Thiên Long	Khinh công	5	4
565	13	94	126	Ngû Trung			99	5
566	13	92	121	Tri khách tång			5	4
567	14	37	130	Bän ð°: Vô Lßþng S½n		V§n chuy¬n	99	2
568	14	152	153	PhÕm Bách Linh			99	5
569	14	44	125	Công Dã TØ Trß·ng	Hµ phái ð® tØ	Ðánh quái	5	4
570	14	69	142	Lý Khôi LuÛ	Tiêu Dao chuy¬n v§n sÑ	V§n chuy¬n	5	2
571	14	47	71	Mµc Nhân Khôi L²i			99	5
572	14	119	152	T¥n Quán	Ngß¶i giao nhi®m vø phái Tiêu Dao	Sß môn	5	3
573	14	125	144	Tô Tinh Hà	Ngß¶i bái sß cüa Tiêu Dao	Bái sß	5	3
574	14	125	142	Khang Quäng Lång	Ngß¶i dÕy võ phái Tiêu Dao	Võ công	5	3
575	14	53	56	Ngô Lãnh Quân	Ngß¶i truy«n thø kÛ nång cßÞi lµc	KÜ	5	3
576	14	65	55	C¦u Ðµc	Ngß¶i quän lý th¥n lµc	Th¥n Lµc	5	3
577	14	62	68	Phùng A Tam	Ngß¶i truy«n thø kÛ nång kÏ môn ðµn giáp	KÏ môn	5	3
578	14	52	151	ThÕch Thanh Lµ	Ngß¶i truy«n thø kÛ nång løc ngh® phong c¯t	Løc ngh®	5	3
579	14	54	150	ThÕch Cam Sß½ng	Ngß¶i dÕy khinh công Tiêu Dao	Khinh công	5	4
580	14	59	71	ThÕch Nhân Khôi L²i			99	5
581	14	66	65	Ð°ng Nhân Khôi L²i			99	5
582	14	74	150	Tri Khách Ð® TØ			5	4
583	15	89	156	Bän ð°: Kiªm Các		V§n chuy¬n	99	2
584	15	39	152	Ph§t Quang Phøng Hoàng			99	5
585	15	45	42	Kim Ðïnh Phøng Hoàng			99	5
586	15	146	46	Linh Tuy«n Phøng Hoàng			99	5
587	15	94	147	Li­u Tam Muµi	Thü s½n ð® tØ	Ðánh quái	5	4
588	15	95	86	Mãnh Long	Ngß¶i giao nhi®m vø phái Nga My	Sß môn	5	3
589	15	96	51	Lý th§p nh¸ nß½ng	Ngß¶i bái sß cüa Nga My	Bái sß	5	3
590	15	96	73	MÕnh Thanh Thanh	Ð±i v§t ph¦m danh xßng	Chß·ng môn	5	3
591	15	98	51	Thôi Løc Hoa	Ngß¶i dÕy võ phái Nga My	Võ công	5	3
592	15	141	51	Tiêu Tß½ng Thüy	Ngß¶i truy«n thø kÛ nång cßÞi phøng	KÜ	5	3
593	15	145	53	Tiêu Tß½ng Ng÷c	Ngß¶i quän lý phøng hoàng	Phøng hoàng	5	3
594	15	43	108	Hàn Ánh Tuyªt	Chï ðÕo chª phù	 Chª phù 	5	3
595	15	39	109	H± Tam Nß½ng	Chï ðÕo kÛ nång linh tâm thu§t	Linh tâm	5	3
596	15	105	58	Tôn Nh¸ Nß½ng	Ngß¶i dÕy khinh công Nga My	Khinh công	5	4
597	15	156	99	Ðào hoa tiên			99	5
598	15	156	112	Ðào Di®p Tiên			99	5
599	15	156	106	Ðào Chi Tiên			99	5
600	15	146	156	VÕn Niên Phøng Hoàng			99	5
601	15	97	71	Ti¬u Danh			99	5
602	15	94	71	Ti¬u Thi			99	5
603	15	86	142	Dß½ng TÑ Nß½ng	Nga My d¸ch chuy¬n sÑ	V§n chuy¬n	5	2
604	15	91	140	Tri Khách Ð® TØ			5	4
605	16	96	159	Bän ð°: Ðôn Hoàng		V§n chuy¬n	99	2
606	16	90	88	Xu¤t Tr¥n TØ	Ngß¶i dÕy khinh công Tinh Túc	Khinh công	5	4
607	16	142	48	ÐÕi Lý Dßþc Lâu TØ			99	5
608	16	128	78	H°ng Ng÷c			5	4
609	16	136	48	Khiªt Ðan Dßþc Lâu TØ			99	5
610	16	99	150	Thiên Lang TØ	Tinh Túc chuy¬n v§n sÑ	V§n chuy¬n	5	2
611	16	100	143	Thiên Toàn TØ	Hµ v® sÑ	Ðánh quái	5	4
612	16	96	92	Vß½ng NgÕn	Ngß¶i giao nhi®m vø phái Tinh Túc	Sß môn	5	3
613	16	95	75	Hàn Thª Trung	Ngß¶i bái sß · phái Tinh Túc	Bái sß	5	3
614	16	142	55	Ðinh Xuân Thu	Ð±i v§t ph¦m danh xßng	Chß·ng môn	5	3
615	16	87	70	Thi Toàn	Ngß¶i dÕy võ phái Tinh Túc	Võ công	5	3
616	16	94	46	Phá Quân TØ	Ngß¶i truy«n thø kÛ nång cßÞi trâu	KÜ	5	3
617	16	97	46	Thiên ¿ng TØ	Ngß¶i quän lý Mao Ngßu	Tây TÕng Ngßu	5	3
618	16	101	89	Sß Kh±ng TØ	Ngß¶i truy«n thø kÛ nång dçn trùng	Dçn trùng	5	3
619	16	101	87	Trích Tinh TØ	Ngß¶i truy«n thø kÛ nång chª ðµc	Chª ðµc	5	3
620	16	131	48	Tây vñc Dßþc Lâu TØ			99	5
621	16	94	151	Tri Khách sÑ			5	4
622	17	94	158	Bän ð°: Ðôn Hoàng		V§n chuy¬n	99	2
623	17	96	148	Ð£ng Bà	Thiên S½n tu¥n s½n sÑ	Ðánh quái	5	4
624	17	95	60	Phù Mçn Nghi	Ngß¶i giao nhi®m vø Thiên S½n	Sß môn	5	3
625	17	91	44	Mai Kiªm	Ngß¶i bái sß cüa Thiên S½n	Bái sß	5	3
626	17	88	44	Lan Kiªm	Ngß¶i dÕy võ phái Thiên S½n	Võ công	5	3
627	17	45	69	Lß Vû Ðình	Ngß¶i truy«n thø kÛ nång cßÞi ðiêu	KÜ	5	3
628	17	39	71	Nh§m Phi H°ng	Ngß¶i quän lý Th¥n ðiêu	Th¥n ðiêu	5	3
629	17	123	67	ThÕch T¦u	Ngß¶i truy«n thø kÛ nång thái bång thu§t	Thái bång	5	3
630	17	119	67	Dß Bà	Ngß¶i truy«n thø kÛ nång huy«n bång thu§t	Huy«n bång	5	3
631	17	101	44	Cúc Kiªm			5	4
632	17	90	120	Ô Lão ÐÕi	Thiên S½n chuy¬n v§n sÑ	V§n chuy¬n	5	2
633	17	97	117	Tri Khách sÑ			5	4
634	17	98	44	Trúc Kiªm	Ngß¶i dÕy khinh công Thiên S½n	Khinh công	5	4
635	18	33	58	Bän ð°: Thäo Nguyên		V§n chuy¬n	99	2
636	18	264	286	Bän ð°: LÕc Dß½ng		V§n chuy¬n	99	2
637	18	34	39	Bän ð°: Ma Nhai Ðµng		V§n chuy¬n	99	2
638	18	248	37	Bän ð°: NhÕn B¡c		V§n chuy¬n	99	2
639	18	184	66	Khôi Hùng			1	5
640	18	253	210	Kim Ti«n Báo			1	5
641	18	241	74	Kh¤u Phong			2	5
642	18	156	163	LÕc Phøng Tiên			1	5
643	18	260	88	Mã Th×a Sänh			2	5
644	18	130	49	Mã Thñc			2	5
645	18	38	206	T¥n Bá Kh·i			1	5
646	18	37	129	T¥n Gia TrÕi Lâu La			1	5
647	18	68	201	T¥n Gia TrÕi Thân Binh			1	5
648	18	127	123	T¥n Gia TrÕi Thám TØ			1	5
649	18	82	73	Thâm thüy thánh thú			1	5
650	18	240	262	Tây B¡c Lang			1	5
651	18	102	36	NhÕn Nam Chinh B¡c Hi®u Úy		Thành th¸	2	2
652	18	283	113	Nhan Nam Chinh Ðông Hi®u Úy		Thành th¸	2	2
653	18	72	284	NhÕn Nam Chinh Nam Hi®u Úy		Thành th¸	2	2
654	18	128	50	Gia Lu§t MÕc Ca			2	5
655	18	263	46	Chüng Thª Hoành			2	5
656	18	242	73	Châu Vô Uý			2	5
657	19	59	60	Bän ð°: Thäo Liêu Trß¶ng		V§n chuy¬n	99	2
658	19	139	259	Bän ð°: C± Mµ mµt		V§n chuy¬n	99	2
659	19	228	280	Bän ð°: NhÕn Nam		V§n chuy¬n	99	2
660	19	153	202	Bát träo thánh thú			1	5
661	19	184	79	Ðä Thäo C¯c Liêu Binh			1	5
662	19	233	93	H°ng Phong Hùng			1	5
663	19	150	200	H°ng Phong Tri Thù			1	5
664	19	225	131	H°ng quä phø			1	5
665	19	246	129	H°ng Thiªt träo			1	5
666	19	271	49	L² Bình			2	5
667	19	231	203	Miêu Khánh			2	5
668	19	280	60	Liêu Ðäo	Ð±i ð° bµ Yªn H¥u	Yªn H¥u	2	4
669	19	40	153	T¥n Gia TrÕi Hµ V®			1	5
670	19	36	249	T¥n Gia TrÕi Giáo Ð¥u			1	5
671	19	163	136	T¥n Gia TrÕi Th± Phï			1	5
672	19	233	192	Khúc Ðoan			2	5
673	19	234	24	NhÕn B¡c Ðông B¡c Hi®u Úy		Thành th¸	2	2
674	19	116	29	NhÕn B¡c Tây B¡c Hi®u Úy		Thành th¸	2	2
675	19	32	128	NhÕn B¡c Chinh Tây Hi®u Úy		Thành th¸	2	2
676	19	195	41	Gia Lu§t Dß Ð²			2	5
677	20	271	33	Bän ð°: Trß¶ng BÕch S½n		V§n chuy¬n	99	2
678	20	119	32	Bän ð°: Liêu Tây		V§n chuy¬n	99	2
679	20	65	195	Bän ð°: Thüy Tinh H°		V§n chuy¬n	99	2
680	20	287	258	Bän ð°: NhÕn Nam		V§n chuy¬n	99	2
681	20	162	160	A Phi			2	5
682	20	161	156	A Lâm			2	5
683	20	77	124	BÕch Minh Kh·i			1	5
684	20	177	250	Thäo Nguyên Lang			1	5
685	20	97	281	Thäo Nguyên Tây Nam Hi®u Úy		Thành th¸	2	2
686	20	271	191	Thäo Nguyên Chinh Ðông Hi®u Úy		Thành th¸	2	2
687	20	46	206	Thäo Nguyên Chinh Tây Hi®u Úy		Thành th¸	2	2
688	20	40	45	Ðä Thäo C¯c T¯ng Binh			1	5
689	20	275	146	Ðoan Mµc nguyên			1	5
690	20	199	202	Lão Li®t Ð¥u			2	5
691	20	275	269	Mông C± H¡c Phong			1	5
692	20	138	53	Nguy­n Thành			2	5
693	20	190	200	Nguy­n lão thái thái			2	5
694	20	198	202	Nguy­n Thñc			2	5
695	20	78	246	Thi¬m Ði®n Mã Phï			1	5
696	20	273	156	Loan Ðao Mã Phï			1	5
697	20	163	158	Tiêu Tß¶ng			2	5
698	20	198	104	Truy Phong Mã Phï			1	5
699	21	61	297	Bän ð°: Thäo Nguyên		V§n chuy¬n	99	2
700	21	37	211	Bän ð°: Tiên Vß½ng Mµ		V§n chuy¬n	99	2
701	21	285	45	Bän ð°: Tuyªt Nguyên		V§n chuy¬n	99	2
702	21	104	59	A SØ Na M£c C¯c			1	5
703	21	158	195	Ba Ð°			2	5
704	21	161	268	BÕch Lang Vß½ng			1	5
705	21	164	199	Bá Nhan			2	5
706	21	163	191	Bác Nhî Luân			2	5
707	21	88	220	ÐÕi H¡c Phong			1	5
708	21	71	96	H¡c Y Mã Phï			1	5
709	21	208	59	H°ng Y Mã Phï			1	5
710	21	173	187	Ki¬m ð¸nh	Thß½ng nhân giám ð¸nh bùa	Giám ð¸nh	2	3
711	21	222	70	Lý Thông			1	5
712	21	277	258	Liêu Tây Ðông Nam Hi®u Úy		Thành th¸	2	2
713	21	75	35	Liêu Tây Tây B¡c Hi®u Úy		Thành th¸	2	2
714	21	40	142	Liêu Tây Chinh Tây Hi®u Úy		Thành th¸	2	2
715	21	279	48	Lßu Quí	Thß½ng nhân c¤u tÕo ð° 	Ðä tÕo	2	3
716	21	242	52	Long Th¡ng			1	5
717	21	277	204	Khinh Giáp Mãng Cái			1	5
718	21	217	47	Tiêu Doãn			1	5
719	21	170	206	Gia Lu§t Kim			2	5
720	21	194	216	Nh¤t Ph¦m Ðß¶ng Thích Khách			1	5
721	22	33	269	Bän ð°: Thäo Nguyên		V§n chuy¬n	99	1
722	22	286	73	Bän ð°: Hoàng Long Phü		V§n chuy¬n	99	1
723	22	153	107	Xa Truy«n Nhân	Ông chü d¸ch trÕm	V§n chuy¬n	2	1
724	22	116	158	Bång Phong Kh±i L²i			1	5
